Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",333.311500,-102.616000,270.000000,bottom
"C2","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",328.676000,-92.329000,180.000000,bottom
"C3","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",325.818500,-99.822000,270.000000,bottom
"C4","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",334.069500,-92.075000,0.000000,bottom
"C5","10pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",318.262000,-97.472500,0.000000,bottom
"C6","10pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",318.389000,-103.060500,180.000000,bottom
"C7","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",344.043000,-101.024500,270.000000,bottom
"C8","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",337.947000,-99.250500,270.000000,bottom
"D1","SMF9.0CA","D_SOD-123_Bidirectional",362.458000,-96.122250,0.000000,bottom
"D2","D_Small","D_SOD-123",57.150000,-130.968750,90.000000,bottom
"D3","D_Small","D_SOD-123",58.737500,-150.018750,90.000000,bottom
"D4","D_Small","D_SOD-123",57.150000,-169.068750,90.000000,bottom
"D5","D_Small","D_SOD-123",58.737500,-188.118750,90.000000,bottom
"D6","D_Small","D_SOD-123",57.150000,-207.168750,90.000000,bottom
"D7","D_Small","D_SOD-123",58.737500,-226.218750,90.000000,bottom
"D8","D_Small","D_SOD-123",77.787500,-130.968750,90.000000,bottom
"D9","D_Small","D_SOD-123",77.787500,-150.018750,90.000000,bottom
"D10","D_Small","D_SOD-123",77.787500,-169.068750,90.000000,bottom
"D11","D_Small","D_SOD-123",77.787500,-188.118750,90.000000,bottom
"D12","D_Small","D_SOD-123",77.787500,-207.168750,90.000000,bottom
"D13","D_Small","D_SOD-123",77.787500,-226.218750,90.000000,bottom
"D14","D_Small","D_SOD-123",96.837500,-130.968750,90.000000,bottom
"D15","D_Small","D_SOD-123",96.837500,-150.018750,90.000000,bottom
"D16","D_Small","D_SOD-123",96.837500,-169.068750,90.000000,bottom
"D17","D_Small","D_SOD-123",96.837500,-188.118750,90.000000,bottom
"D18","D_Small","D_SOD-123",96.837500,-207.168750,90.000000,bottom
"D19","D_Small","D_SOD-123",96.837500,-226.281250,90.000000,bottom
"D20","D_Small","D_SOD-123",115.887500,-130.968750,90.000000,bottom
"D21","D_Small","D_SOD-123",115.887500,-150.018750,90.000000,bottom
"D22","D_Small","D_SOD-123",115.887500,-169.068750,90.000000,bottom
"D23","D_Small","D_SOD-123",115.887500,-188.118750,90.000000,bottom
"D24","D_Small","D_SOD-123",115.887500,-207.168750,90.000000,bottom
"D25","D_Small","D_SOD-123",115.887500,-226.218750,90.000000,bottom
"D26","D_Small","D_SOD-123",134.937500,-130.968750,90.000000,bottom
"D27","D_Small","D_SOD-123",134.937500,-150.018750,90.000000,bottom
"D28","D_Small","D_SOD-123",134.937500,-169.068750,90.000000,bottom
"D29","D_Small","D_SOD-123",134.937500,-188.118750,90.000000,bottom
"D30","D_Small","D_SOD-123",134.937500,-207.168750,90.000000,bottom
"D31","D_Small","D_SOD-123",134.937500,-226.218750,90.000000,bottom
"D32","D_Small","D_SOD-123",152.400000,-130.968750,90.000000,bottom
"D33","D_Small","D_SOD-123",153.987500,-150.018750,90.000000,bottom
"D34","D_Small","D_SOD-123",152.400000,-169.068750,90.000000,bottom
"D35","D_Small","D_SOD-123",153.987500,-188.118750,90.000000,bottom
"D36","D_Small","D_SOD-123",152.400000,-207.168750,90.000000,bottom
"D37","D_Small","D_SOD-123",153.987500,-226.218750,90.000000,bottom
"D38","D_Small","D_SOD-123",171.450000,-130.968750,90.000000,bottom
"D39","D_Small","D_SOD-123",173.037500,-150.018750,90.000000,bottom
"D40","D_Small","D_SOD-123",171.450000,-169.068750,90.000000,bottom
"D41","D_Small","D_SOD-123",173.037500,-188.118750,90.000000,bottom
"D42","D_Small","D_SOD-123",171.450000,-207.168750,90.000000,bottom
"D43","D_Small","D_SOD-123",173.037500,-226.281250,90.000000,bottom
"D44","D_Small","D_SOD-123",192.087500,-130.968750,90.000000,bottom
"D45","D_Small","D_SOD-123",192.087500,-150.018750,90.000000,bottom
"D46","D_Small","D_SOD-123",192.087500,-169.068750,90.000000,bottom
